campaign_id,platform,date,geo,device,campaign_type,ad_format,impressions,clicks,spend_usd,conversions
Spring_Claim_Retarget_229,LinkedIn,2025-08-15,MX,desktop,lead_generation,display,14351,87,343.12,2
Holiday_Sea_Lead_079,Twitter,2025-08-15,US,mobile,conversions,remarketing,25427,159,499.13,4
Holiday_Rest_Retarget_197,Google,2025-08-15,US,mobile,video_views,search,64917,1036,2004.72,20
Summer_Value_Lead_198,TikTok,2025-08-15,IN,mobile,traffic,social,5172,68,34.18,1
Q1_Threat_Retarget_125,Google,2025-08-15,IN,mobile,app_installs,display,29900,174,131.25,3
Q4_Not_Traffic_199,Twitter,2025-08-15,IT,desktop,app_installs,remarketing,7515,92,111.12,2
Q3_Source_Video_049,Facebook,2025-08-15,ES,mobile,lead_generation,search,32770,424,586.53,7
Spring_Middle_Brand_241,LinkedIn,2025-08-15,CA,mobile,retargeting,search,21080,192,1315.04,9
BlackFriday_Camera_Conversion_294,Google,2025-08-15,US,mobile,lead_generation,video,57620,664,1467.93,17
Q3_Specific_App_202,Facebook,2025-08-15,US,mobile,brand_awareness,video,67539,1025,1498.65,5
Q3_Show_Retarget_062,Facebook,2025-08-15,DE,mobile,retargeting,remarketing,34196,434,468.05,8
Q3_Water_Traffic_163,Facebook,2025-08-15,US,desktop,lead_generation,social,8024,100,162.87,2
Winter_Who_Traffic_149,Facebook,2025-08-15,BR,mobile,traffic,social,26813,313,205.75,8
Holiday_Rest_Retarget_197,Google,2025-08-15,US,desktop,app_installs,video,19812,459,1034.82,15
Q1_Hospital_Traffic_098,Facebook,2025-08-15,SE,mobile,app_installs,video,8505,105,124.58,1
Summer_Pick_Video_186,Google,2025-08-15,BR,mobile,traffic,shopping,43906,669,606.05,13
Q2_Brother_Retarget_243,Google,2025-08-15,US,mobile,conversions,search,15041,246,601.41,8
Summer_Animal_Retarget_061,TikTok,2025-08-15,IN,mobile,video_views,video,13648,156,89.82,3
Spring_Maintain_Video_115,TikTok,2025-08-15,NL,mobile,traffic,social,37810,522,456.38,9
Winter_News_App_273,Facebook,2025-08-15,CA,mobile,conversions,social,20298,145,255.82,3
Q4_Authority_Retarget_261,Facebook,2025-08-15,MX,desktop,app_installs,remarketing,22706,490,302.62,14
Q2_Notice_Brand_233,Google,2025-08-15,ES,desktop,retargeting,search,31785,858,1317.53,15
Summer_Pattern_Retarget_161,Twitter,2025-08-15,US,mobile,video_views,video,18879,189,407.56,2
BlackFriday_Learn_Traffic_207,LinkedIn,2025-08-15,US,desktop,retargeting,display,38106,249,1769.72,6
Q1_Purpose_Conversion_001,Google,2025-08-15,CA,desktop,brand_awareness,shopping,30446,827,1121.58,9
Q3_Result_Conversion_105,Facebook,2025-08-15,AU,desktop,video_views,remarketing,0,0,0.0,0
Q1_Building_App_196,Google,2025-08-15,DE,desktop,traffic,shopping,52679,1100,1814.43,19
BlackFriday_Month_Video_215,Google,2025-08-15,FR,desktop,retargeting,video,59873,996,1715.7,24
Q1_Building_App_196,Facebook,2025-08-15,SE,desktop,retargeting,display,15042,130,177.66,3
Winter_Pick_Brand_182,Facebook,2025-08-15,NL,mobile,conversions,remarketing,22611,313,467.61,9
Spring_Science_Video_103,Facebook,2025-08-15,GB,mobile,traffic,remarketing,15275,145,157.23,2
Q1_Mouth_Traffic_023,Google,2025-08-15,IN,tablet,lead_generation,remarketing,31351,719,765.18,13
Q3_Yes_Video_192,Google,2025-08-15,US,desktop,video_views,search,0,0,0.0,0
BackToSchool_Discuss_Lead_122,TikTok,2025-08-15,GB,mobile,lead_generation,search,3400,48,42.49,0
Winter_Dog_Conversion_007,Google,2025-08-15,GB,mobile,app_installs,search,28115,444,785.7,8
Q1_Offer_Retarget_014,Google,2025-08-15,IN,mobile,conversions,social,25822,256,285.6,7
Q4_Great_Conversion_050,Google,2025-08-15,US,tablet,retargeting,video,22359,256,618.61,4
Summer_Knowledge_Traffic_017,Facebook,2025-08-15,MX,mobile,app_installs,search,22496,313,259.32,8
Winter_Everyone_Traffic_159,Google,2025-08-15,US,mobile,app_installs,video,52928,576,1171.4,9
Q2_Trial_App_089,Twitter,2025-08-15,CA,mobile,app_installs,remarketing,24898,146,222.55,3
Q2_Guy_Retarget_057,Google,2025-08-15,BR,mobile,video_views,video,43601,527,544.16,10
BackToSchool_Blood_Conversion_090,Google,2025-08-15,US,mobile,video_views,social,12646,115,271.65,2
Q3_Receive_Brand_267,Facebook,2025-08-15,NL,desktop,traffic,social,8295,115,112.4,3
BackToSchool_Certainly_Traffic_168,Google,2025-08-15,IT,mobile,conversions,search,24566,546,1156.65,20
Spring_Drive_Retarget_083,Google,2025-08-15,NL,desktop,traffic,remarketing,12133,196,273.38,4
